sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
E10A	90164	81166	90.02	80849	59	0.07	59	0.07
E10B	62500	53379	85.41	53094	126	0.2	126	0.2
E10C	92003	81382	88.46	80958	78	0.08	78	0.08
E11A	78819	62694	79.54	61162	2122	2.69	1915	2.43
E11B	87696	77162	87.99	76817	103	0.12	78	0.09
E11C	95594	81821	85.59	80978	644	0.67	640	0.67
E12A	66702	60749	91.08	60546	8	0.01	8	0.01
E12B	99901	90830	90.92	90574	72	0.07	72	0.07
E12C	146858	133526	90.92	133181	15	0.01	15	0.01
E14A	130829	115535	88.31	114966	126	0.1	126	0.1
E14B	84586	76036	89.89	75786	28	0.03	28	0.03
E14D	80001	70007	87.51	69333	165	0.21	165	0.21
E15A	55934	46681	83.46	46130	155	0.28	155	0.28
E15C	90660	76680	84.58	76222	424	0.47	424	0.47
E15D	91524	78880	86.19	78267	283	0.31	283	0.31
E17A	74993	59811	79.76	58747	1499	2	1288	1.72
E17B	39698	32712	82.4	32171	412	1.04	412	1.04
E17C	52394	41985	80.13	41311	834	1.59	804	1.53
E17D	18688	14793	79.16	14516	54	0.29	54	0.29
E19A	62548	53250	85.13	52781	295	0.47	295	0.47
E19B	96491	81268	84.22	80663	608	0.63	577	0.6
E19C	109705	89946	81.99	88611	1700	1.55	1620	1.48
E19D	46879	38664	82.48	38349	156	0.33	109	0.23
E20A	86810	76793	88.46	76445	98	0.11	98	0.11
E20B	107416	96093	89.46	95606	122	0.11	122	0.11
E20C	138402	125150	90.42	124883	23	0.02	23	0.02
E22A	101194	90223	89.16	89969	47	0.05	47	0.05
E22B	144055	130633	90.68	130378	14	0.01	14	0.01
E22D	78502	70323	89.58	70133	9	0.01	9	0.01
E23B	86891	73892	85.04	73589	221	0.25	215	0.25
E23C	93865	84664	90.2	84462	19	0.02	19	0.02
E23D	154959	139521	90.04	139089	64	0.04	64	0.04
E24A	135722	115366	85	114495	979	0.72	935	0.69
E24B	75745	60516	79.89	60093	291	0.38	291	0.38
E24C	86781	77926	89.8	77694	21	0.02	21	0.02
E6A	127636	112175	87.89	111412	399	0.31	396	0.31
E6B	69684	61299	87.97	60573	214	0.31	214	0.31
E6D	52666	43211	82.05	42894	213	0.4	213	0.4
L10A	77831	70055	90.01	69888	0	0	0	0
L10B	97025	87344	90.02	87159	0	0	0	0
L10C	147240	131932	89.6	131651	18	0.01	11	0.01
L10D	91473	82202	89.86	82002	47	0.05	47	0.05
L11A	90428	76950	85.1	76469	103	0.11	103	0.11
L11B	137382	123724	90.06	123416	0	0	0	0
L11C	137500	124229	90.35	123841	0	0	0	0
L11D	104055	93294	89.66	92990	60	0.06	60	0.06
L12A	144574	130239	90.08	130033	3	0	3	0
L12B	111882	101433	90.66	101095	14	0.01	14	0.01
L12C	128798	116240	90.25	115830	6	0	6	0
L12D	86194	77235	89.61	77005	26	0.03	26	0.03
L14A	117793	106718	90.6	106379	0	0	0	0
L14B	85586	77194	90.19	76916	0	0	0	0
L14C	113203	101589	89.74	101336	5	0	5	0
L14D	90326	81861	90.63	81681	4	0	4	0
L15A	102407	90231	88.11	89904	0	0	0	0
L15B	104089	89542	86.02	89232	28	0.03	28	0.03
L15C	146321	130721	89.34	130498	58	0.04	53	0.04
L17A	110582	99250	89.75	99003	0	0	0	0
L17B	109557	97887	89.35	97684	5	0	5	0
L17C	98384	88464	89.92	88230	7	0.01	7	0.01
L17D	117175	105106	89.7	104932	10	0.01	10	0.01
L19A	129456	115741	89.41	115555	4	0	4	0
L19B	90405	81034	89.63	80916	8	0.01	8	0.01
L19C	99903	89565	89.65	89423	4	0	4	0
L19D	119597	106898	89.38	106720	0	0	0	0
L20A	94262	84652	89.81	84501	0	0	0	0
L20B	120645	108265	89.74	108077	4	0	4	0
L20CD	97497	83545	85.69	83323	57	0.06	57	0.06
L22A	127934	115806	90.52	115569	18	0.01	18	0.01
L22B	71259	63989	89.8	63797	0	0	0	0
L22C	87257	77298	88.59	77116	0	0	0	0
L22D	93790	84959	90.58	84745	10	0.01	10	0.01
L23A	119613	108651	90.84	108460	8	0.01	8	0.01
L23D	98685	89046	90.23	88910	6	0.01	6	0.01
L24A	113095	102818	90.91	102638	3	0	3	0
L24B	86161	78096	90.64	77951	0	0	0	0
L6A	104665	93602	89.43	93413	0	0	0	0
L6B	83669	75389	90.1	75192	22	0.03	22	0.03
L6C	121031	108554	89.69	108305	0	0	0	0
L6D	88905	79034	88.9	78865	0	0	0	0
